iter	RMSE
0	18.70190288
1	18.28192811
2	17.92097101
3	17.60434287
4	17.3295105
5	17.09296565
6	16.89009523
7	16.7180045
8	16.56648684
9	16.43995702
10	16.3240185
11	16.22573114
12	16.13800264
13	16.0648459
14	16.00231728
15	15.94494333
16	15.89581878
17	15.8490785
18	15.79533648
19	15.74790694
20	15.70302299
21	15.66515857
22	15.63284969
23	15.6073471
24	15.5830382
25	15.56316017
26	15.54288164
27	15.51916074
28	15.50105755
29	15.48572843
30	15.47177857
31	15.46203705
32	15.45226378
33	15.43779744
34	15.42431733
35	15.41683417
36	15.40764107
37	15.39785416
38	15.38714491
39	15.38036767
40	15.36983451
41	15.36107294
42	15.35276366
43	15.3454205
44	15.33834927
45	15.32469881
46	15.31726361
47	15.30819739
48	15.30318461
49	15.29479211
50	15.28555381
51	15.28033143
52	15.27097314
53	15.26414699
54	15.25557964
55	15.2471024
56	15.23907542
57	15.22860091
58	15.22182382
59	15.21309386
60	15.20673336
61	15.20326298
62	15.19802292
63	15.19474628
64	15.1876817
65	15.18085387
66	15.17447159
67	15.17006123
68	15.16631221
69	15.16283249
70	15.15379224
71	15.14908943
72	15.14453934
73	15.13987907
74	15.13512445
75	15.13101669
76	15.12362178
77	15.11783044
78	15.11347434
79	15.11025257
80	15.10772798
81	15.10365422
82	15.1007308
83	15.09621042
84	15.09187608
85	15.08719623
86	15.08362901
87	15.08033772
88	15.0772239
89	15.0732838
90	15.06859768
91	15.06433953
92	15.05753546
93	15.05476139
94	15.05105687
95	15.04486779
96	15.03636079
97	15.03335385
98	15.03110453
99	15.02675154
100	15.0227151
101	15.01771957
102	15.01320627
103	15.00681659
104	15.00276177
105	14.9994022
106	14.99439312
107	14.9887823
108	14.98623212
109	14.98404215
110	14.98034692
111	14.97732161
112	14.97269239
113	14.96721826
114	14.963706
115	14.95982353
116	14.95521034
117	14.95075868
118	14.94660267
119	14.94308477
120	14.93794255
121	14.93505072
122	14.93142685
123	14.92883961
124	14.92417291
125	14.92264423
126	14.92086306
127	14.9166666
128	14.91359287
129	14.91121519
130	14.90933181
131	14.90584766
132	14.90209826
133	14.89258758
134	14.88996019
135	14.88781893
136	14.88431083
137	14.88236326
138	14.87694467
139	14.87515549
140	14.873637
141	14.86746222
142	14.86302787
143	14.85651691
144	14.85231489
145	14.84770101
146	14.84564599
147	14.84148799
148	14.83670985
149	14.83297515
150	14.82996906
151	14.8273122
152	14.82161981
153	14.81849483
154	14.81391905
155	14.80983347
156	14.80747289
157	14.80264728
158	14.79979701
159	14.79756779
160	14.79450776
161	14.79268734
162	14.78862973
163	14.78521661
164	14.78232719
165	14.77872898
166	14.77378549
167	14.77026883
168	14.76814856
169	14.76426791
170	14.75955926
171	14.7571184
172	14.75482635
173	14.75268604
174	14.74834214
175	14.74240931
176	14.73797113
177	14.73645591
178	14.7330403
179	14.73015146
180	14.7273172
181	14.7241245
182	14.721054
183	14.71937364
184	14.71537784
185	14.71040626
186	14.70562892
187	14.70237974
188	14.69897261
189	14.69601893
190	14.69246094
191	14.68570743
192	14.68112058
193	14.67700116
194	14.67523786
195	14.67306887
196	14.67108033
197	14.66661067
198	14.66249582
199	14.6587884
200	14.65708188
201	14.65207469
202	14.64577136
203	14.64303248
204	14.64019632
205	14.63571805
206	14.63465635
207	14.63197445
208	14.62916603
209	14.62723503
210	14.6232539
211	14.62138873
212	14.61870097
213	14.61162558
214	14.60925624
215	14.60775696
216	14.60489504
217	14.59972622
218	14.5976271
219	14.59453647
220	14.59070608
221	14.58729725
222	14.58562139
223	14.58059065
224	14.57789041
225	14.57373173
226	14.57109787
227	14.56699727
228	14.56282551
229	14.56063281
230	14.55806075
231	14.55365882
232	14.55044014
233	14.54666273
234	14.54509119
235	14.5405606
236	14.53845504
237	14.53374599
238	14.52878616
239	14.52532548
240	14.52314666
241	14.51916363
242	14.51380114
243	14.51093113
244	14.50843129
245	14.50384748
246	14.49890327
247	14.49624859
248	14.49248814
249	14.48935316
250	14.48567723
251	14.47999217
252	14.47718283
253	14.4748156
254	14.47166244
255	14.46932636
256	14.46454484
257	14.46131131
258	14.45620851
259	14.45177045
260	14.44968797
261	14.44645626
262	14.4443628
263	14.44160184
264	14.43780668
265	14.43500448
266	14.43314933
267	14.42923753
268	14.42743291
269	14.4245685
270	14.42219036
271	14.41806957
272	14.41447469
273	14.41268522
274	14.40884419
275	14.4068652
276	14.4051374
277	14.402647
278	14.3999314
279	14.39819058
280	14.39588855
281	14.39216506
282	14.38918461
283	14.38680194
284	14.38231788
285	14.38021954
286	14.37731699
287	14.37410127
288	14.3698925
289	14.36641222
290	14.36478968
291	14.36216519
292	14.36020723
293	14.35802941
294	14.35597645
295	14.35438018
296	14.35147904
297	14.34809606
298	14.34558219
299	14.34264305
