iter	Passed	Remaining
0	65	19498
1	69	10367
2	75	7435
3	79	5870
4	83	4952
5	88	4336
6	94	3953
7	99	3613
8	103	3358
9	109	3163
10	113	2978
11	117	2819
12	122	2697
13	126	2582
14	131	2490
15	135	2409
16	140	2346
17	146	2292
18	149	2213
19	152	2141
20	157	2088
21	162	2048
22	165	1997
23	170	1966
24	176	1938
25	181	1908
26	184	1870
27	189	1843
28	194	1820
29	199	1796
30	204	1777
31	210	1758
32	215	1743
33	220	1722
34	225	1707
35	231	1696
36	237	1686
37	242	1674
38	248	1661
39	254	1657
40	258	1634
41	265	1628
42	269	1611
43	275	1602
44	279	1584
45	285	1574
46	290	1561
47	295	1549
48	300	1540
49	305	1528
50	310	1516
51	315	1505
52	320	1491
53	325	1483
54	331	1475
55	336	1464
56	341	1456
57	347	1450
58	351	1437
59	357	1429
60	361	1418
61	367	1411
62	372	1399
63	376	1390
64	383	1386
65	388	1378
66	394	1370
67	399	1362
68	404	1354
69	409	1345
70	414	1336
71	421	1334
72	426	1326
73	432	1321
74	438	1314
75	443	1305
76	448	1299
77	453	1291
78	457	1279
79	463	1273
80	469	1268
81	474	1262
82	480	1255
83	486	1251
84	491	1241
85	497	1236
86	502	1229
87	507	1222
88	512	1214
89	517	1208
90	523	1202
91	528	1194
92	534	1189
93	539	1181
94	544	1173
95	550	1168
96	555	1163
97	561	1156
98	566	1150
99	573	1147
100	579	1141
101	586	1139
102	593	1135
103	598	1127
104	606	1126
105	611	1118
106	616	1112
107	621	1105
108	628	1100
109	634	1095
110	640	1090
111	645	1084
112	652	1080
113	659	1076
114	664	1069
115	670	1063
116	675	1057
117	691	1066
118	696	1060
119	707	1061
120	715	1059
121	722	1054
122	729	1049
123	737	1046
124	743	1040
125	751	1037
126	757	1031
127	763	1025
128	769	1019
129	773	1011
130	779	1005
131	786	1001
132	793	996
133	799	990
134	804	983
135	811	978
136	816	971
137	823	966
138	828	959
139	834	953
140	841	948
141	848	943
142	853	937
143	859	930
144	863	923
145	868	916
146	873	909
147	879	903
148	885	897
149	890	890
150	896	884
151	902	878
152	908	872
153	914	866
154	919	859
155	924	853
156	930	847
157	935	840
158	940	833
159	945	827
160	950	820
161	956	814
162	962	808
163	969	803
164	976	799
165	982	792
166	988	787
167	994	781
168	1001	776
169	1007	770
170	1012	763
171	1018	757
172	1023	751
173	1029	745
174	1036	740
175	1041	733
176	1047	727
177	1052	721
178	1057	714
179	1062	708
180	1067	702
181	1073	695
182	1080	690
183	1084	683
184	1090	678
185	1095	671
186	1100	664
187	1105	658
188	1111	652
189	1115	646
190	1120	639
191	1126	633
192	1130	626
193	1136	621
194	1142	615
195	1148	609
196	1153	602
197	1158	596
198	1163	590
199	1169	584
200	1175	578
201	1180	572
202	1186	566
203	1192	560
204	1197	554
205	1203	549
206	1208	543
207	1213	536
208	1219	530
209	1223	524
210	1229	518
211	1234	512
212	1241	507
213	1247	501
214	1253	495
215	1259	489
216	1264	483
217	1270	477
218	1276	472
219	1281	465
220	1285	459
221	1290	453
222	1295	447
223	1300	441
224	1305	435
225	1310	428
226	1315	423
227	1319	416
228	1324	410
229	1330	404
230	1335	398
231	1341	393
232	1346	387
233	1351	381
234	1357	375
235	1362	369
236	1368	363
237	1374	358
238	1380	352
239	1386	346
240	1390	340
241	1404	336
242	1409	330
243	1419	325
244	1425	320
245	1434	314
246	1441	309
247	1450	304
248	1458	298
249	1465	293
250	1471	287
251	1477	281
252	1483	275
253	1489	269
254	1496	264
255	1503	258
256	1508	252
257	1514	246
258	1520	240
259	1526	234
260	1532	229
261	1539	223
262	1545	217
263	1550	211
264	1556	205
265	1561	199
266	1568	193
267	1573	187
268	1578	181
269	1583	175
270	1589	170
271	1594	164
272	1600	158
273	1604	152
274	1611	146
275	1616	140
276	1621	134
277	1626	128
278	1630	122
279	1635	116
280	1640	110
281	1646	105
282	1653	99
283	1659	93
284	1666	87
285	1671	81
286	1723	78
287	1739	72
288	1743	66
289	1749	60
290	1756	54
291	1762	48
292	1768	42
293	1774	36
294	1781	30
295	1788	24
296	1794	18
297	1801	12
298	1807	6
299	1812	0
